File Path	URLs and IP Addresses
File Path	Domain Name	URL
C:\Users\pc\Downloads\Userappandweb\User app and web\analysis_options.yaml	dart.dev	https://dart.dev/tools#ides-and-editors).
C:\Users\pc\Downloads\Userappandweb\User app and web\analysis_options.yaml	dart-lang.github.io	https://dart-lang.github.io/linter/lints/index.html.
C:\Users\pc\Downloads\Userappandweb\User app and web\analysis_options.yaml	dart.dev	https://dart.dev/guides/language/analysis-options
File Path	Domain Name	URL
C:\Users\pc\Downloads\Userappandweb\User app and web\output.txt	dart.dev	https://dart.dev/tools#ides-and-editors).
C:\Users\pc\Downloads\Userappandweb\User app and web\output.txt	dart-lang.github.io	https://dart-lang.github.io/linter/lints/index.html.
C:\Users\pc\Downloads\Userappandweb\User app and web\output.txt	dart.dev	https://dart.dev/guides/language/analysis-options
File Path	Domain Name	URL
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/analytics/-/analytics-0.7.5.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/analytics-compat/-/analytics-compat-0.1.6.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/analytics-types/-/analytics-types-0.7.0.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/app/-/app-0.7.16.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/app-check/-/app-check-0.5.3.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/app-check-compat/-/app-check-compat-0.2.3.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/app-check-interop-types/-/app-check-interop-types-0.1.0.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/app-compat/-/app-compat-0.1.17.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/app-types/-/app-types-0.7.0.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/auth/-/auth-0.19.8.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/auth-compat/-/auth-compat-0.2.8.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/auth-interop-types/-/auth-interop-types-0.1.6.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/auth-types/-/auth-types-0.11.0.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/component/-/component-0.5.10.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/database/-/database-0.12.5.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/database-compat/-/database-compat-0.1.5.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/database-types/-/database-types-0.9.4.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/firestore/-/firestore-3.4.4.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/firestore-compat/-/firestore-compat-0.1.13.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/firestore-types/-/firestore-types-2.5.0.tgz",
